species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_porteri,63.4809,161.26,41.4504,7656.08,265.931,-115.366,381.298,141.954,-27.0458,164.947,-30.7786,445.992,67.2595,15.0687,45.855,177.771,52.0534,167.802,52.1374,2149.56,156.763,3.30534,1378.31,18.7176,123.815,31,67.0305,50.0916,30.4198,15.6336,35.2672,0.10687,0,14.1603,5.66412,28.5115
Symphyotrichum_potosinum,155.303,156.727,57.9091,3591.36,287.727,21.7879,265.939,192.03,149.727,199.364,108.455,716.515,169.848,6.15152,88.9091,424.394,29.8485,314.576,70.8788,1845.88,147.939,3.39394,1291.82,42.3636,150.793,13.8182,63.5758,29.5758,25.1212,20.0303,14.7273,3.15152,0.636364,33.5152,11.2727,13.0909
Symphyotrichum_praealtum,127.76,122.542,32.2352,8967.14,313.825,-64.2124,378.038,199.141,23.2959,239.077,7.22307,998.256,123.806,43.6813,32.0713,333.202,152.2,300.452,163.876,289.429,171.543,0.491629,1508.46,23.7313,165.62,37.844,60.9115,29.8855,46.3221,4.31651,4.6085,0.503794,9.86495,11.0046,0.637329,20.4552
Symphyotrichum_pratense,186.864,124.52,38.168,6949.62,341.472,21.168,320.304,210.36,166.496,272.272,93.088,1101.5,134.48,61.096,24.52,341.568,210.976,258.936,253.472,103.144,168.333,0.376,1591.68,23.216,87.5565,27.784,59.144,42.968,33.048,2.432,14.832,1.176,7.992,24.92,1.144,18.424
Symphyotrichum_prenanthoides,92.4146,119.799,32.3963,8736.41,276.724,-87.5439,364.268,181.393,-15.3317,201.1,-24.7439,1065.89,111.234,65.5927,15.9378,316.762,215.082,309.804,217.374,389.278,182.108,1.51098,1398.41,19.5421,168.527,48.5665,53.1819,34,46.431,10.9792,3.65732,0.135366,51.9524,10.8073,0.0365854,3.18049
Symphyotrichum_priceae,90.6667,84.6667,22.6667,5630.67,209.333,-33,242.333,90.3333,131.667,160.333,14.3333,857,87,51,9.33333,246,173.667,203.333,217.333,121.667,117,0,1017,14,64.6667,13.3333,37,11,41.6667,2,0,0,7,0,0,3
Symphyotrichum_puniceum,66.1928,112.628,28.3286,9783.14,261.93,-132.031,393.96,156.565,-39.5905,187.068,-65.5465,993.142,107.165,58.145,19.7561,302.644,191.604,291.3,204.339,298.802,179.465,1.12649,1268.77,15.5529,238.148,70.2697,54.316,45.8929,38.6055,8.67773,6.32873,0.171692,29.1822,24.4606,0.775963,3.31449
Symphyotrichum_pygmaeum,-120,65.5714,13.9286,13003.1,106.571,-318.429,425,42.7143,-273.929,50.3571,-273.929,145.786,27.2857,4.28571,60.3571,72.8571,14.2143,62.8571,14.2143,78.0714,191.154,0.714286,946.875,15.875,278.6,92.3125,58.8125,42.75,35,4.3125,1.3125,0,0,2.375,9.8125,20.6875
Symphyotrichum_racemosum,116.322,115.98,32.1723,8520.41,295.526,-60.059,355.585,168.063,48.7007,223.721,3.37188,1143.93,116.728,75.2789,12.6689,326.61,247.653,305.63,261.095,99.5646,164.798,0.599537,1427.69,15.0638,170.99,52.287,53.4533,46.1435,38.6446,6.03189,8.46032,1.02721,23.6145,15.7732,0.29932,3.77098
Symphyotrichum_regnellii,180.316,103,56.8421,2189,261.895,90.9474,170.947,191.053,164.316,205,150.684,1540,213.474,63.7895,40.0526,578.316,216.053,479.368,236.211,733,151.579,0.947368,1110.32,34.9474,176.125,36,49.1579,38.8947,20.8421,3.57895,0,12.4737,6.78947,17.3158,14.7895,2.47368
